Sexo,Escolaridade,Renda_Media,Ano,Trimestre
1,9.0,2533.333333333333,2024,1
1,10.0,1826.2546986390148,2024,1
1,11.0,1810.121951219512,2024,1
1,12.0,4106.984924623115,2024,1
1,13.0,9488.0,2024,1
1,14.0,7423.368421052632,2024,1
1,15.0,7306.857142857143,2024,1
2,1.0,,2024,1
2,2.0,605.0,2024,1
2,3.0,880.0,2024,1
2,5.0,546.1777777777778,2024,1
2,6.0,633.3333333333334,2024,1
2,7.0,918.6834677419356,2024,1
2,8.0,822.5384615384615,2024,1
2,9.0,1980.25,2024,1
2,10.0,1362.3541102077688,2024,1
2,11.0,857.2941176470588,2024,1
2,12.0,2994.1098039215685,2024,1
2,13.0,4511.271276595745,2024,1
2,14.0,7047.368421052632,2024,1
2,15.0,7325.0,2024,1
1,2.0,978.0,2024,2
1,3.0,704.8125,2024,2
1,5.0,1196.6896551724135,2024,2
1,6.0,1810.4,2024,2
1,7.0,1243.839615668884,2024,2
1,8.0,913.4444444444443,2024,2
1,9.0,2516.0,2024,2
1,10.0,1935.0929203539824,2024,2
1,11.0,1557.0,2024,2
1,12.0,4680.085158150851,2024,2
1,13.0,10347.575757575758,2024,2
1,14.0,9716.0,2024,2
1,15.0,13812.2,2024,2
2,2.0,603.0,2024,2
2,3.0,495.6923076923077,2024,2
2,5.0,630.8235294117648,2024,2
2,6.0,1142.75,2024,2
2,7.0,875.3996212121212,2024,2
2,8.0,1006.25,2024,2
2,9.0,1722.4444444444443,2024,2
2,10.0,1323.4012131715772,2024,2
2,11.0,1002.3703703703704,2024,2
2,12.0,3383.465930018416,2024,2
2,13.0,4894.054187192119,2024,2
2,14.0,7476.190476190476,2024,2
2,15.0,7880.0,2024,2
1,1.0,,2024,3
1,2.0,594.6666666666666,2024,3
1,3.0,849.3103448275862,2024,3
1,5.0,1172.108695652174,2024,3
1,6.0,2400.0,2024,3
1,7.0,1244.99854862119,2024,3
1,8.0,1188.7142857142858,2024,3
1,9.0,2235.333333333333,2024,3
1,10.0,1946.1753494282084,2024,3
1,11.0,1558.982142857143,2024,3
1,12.0,4681.426470588235,2024,3
1,13.0,10667.515151515152,2024,3
1,14.0,11468.619047619048,2024,3
1,15.0,13468.444444444443,2024,3
2,1.0,,2024,3
2,2.0,200.0,2024,3
2,3.0,529.4,2024,3
2,5.0,700.4347826086956,2024,3
2,6.0,671.4285714285714,2024,3
2,7.0,874.7301293900185,2024,3
2,8.0,779.3684210526316,2024,3
2,9.0,3350.0,2024,3
2,10.0,1338.2576687116564,2024,3
2,11.0,1069.5185185185185,2024,3
2,12.0,3188.007633587786,2024,3
2,13.0,4756.839449541284,2024,3
2,14.0,8313.04347826087,2024,3
2,15.0,9711.0,2024,3
1,2.0,1166.4,2024,4
1,3.0,929.121212121212,2024,4
1,5.0,1214.25,2024,4
1,6.0,1902.6666666666667,2024,4
1,7.0,1281.736917562724,2024,4
1,8.0,1315.111111111111,2024,4
1,9.0,4719.375,2024,4
1,10.0,1926.666038920276,2024,4
1,11.0,1409.2903225806451,2024,4
1,12.0,5909.283482142857,2024,4
1,13.0,9664.631578947368,2024,4
1,14.0,8553.217391304348,2024,4
1,15.0,12142.857142857143,2024,4
2,1.0,,2024,4
2,2.0,,2024,4
2,3.0,458.5263157894737,2024,4
2,5.0,850.6206896551724,2024,4
2,6.0,263.3333333333333,2024,4
2,7.0,850.4223826714801,2024,4
2,8.0,787.4444444444445,2024,4
2,9.0,3300.0,2024,4
2,10.0,1374.8576104746317,2024,4
2,11.0,984.9285714285714,2024,4
2,12.0,3515.268876611418,2024,4
2,13.0,5546.009009009009,2024,4
2,14.0,6773.733333333334,2024,4
2,15.0,7068.0,2024,4
1,2.0,1962.5,2025,1
1,3.0,1076.0,2025,1
1,5.0,1340.3333333333333,2025,1
1,6.0,1504.75,2025,1
1,7.0,1355.8508977361437,2025,1
1,8.0,981.5428571428572,2025,1
1,9.0,3391.8,2025,1
1,10.0,2069.0534300791555,2025,1
1,11.0,1668.6060606060605,2025,1
1,12.0,5861.303240740741,2025,1
1,13.0,9247.699115044248,2025,1
1,14.0,11692.857142857143,2025,1
1,15.0,16600.0,2025,1
2,2.0,250.0,2025,1
2,3.0,752.0,2025,1
2,5.0,764.4814814814815,2025,1
2,6.0,851.6666666666666,2025,1
2,7.0,918.1788617886178,2025,1
2,8.0,830.3333333333334,2025,1
2,9.0,2100.555555555556,2025,1
2,10.0,1416.7509057971015,2025,1
2,11.0,1184.388888888889,2025,1
2,12.0,3496.1941747572814,2025,1
2,13.0,5980.801843317972,2025,1
2,14.0,7382.607142857143,2025,1
2,15.0,8230.76923076923,2025,1
1,2.0,2157.6,2025,2
1,3.0,1082.0625,2025,2
1,5.0,1340.0348837209303,2025,2
1,6.0,1916.888888888889,2025,2
1,7.0,1384.8193869096935,2025,2
1,8.0,1179.3333333333333,2025,2
1,9.0,3002.25,2025,2
1,10.0,2002.9267155229848,2025,2
1,11.0,1780.7560975609756,2025,2
1,12.0,6040.965442764579,2025,2
1,13.0,10203.356589147286,2025,2
1,14.0,9977.272727272728,2025,2
1,15.0,13791.666666666666,2025,2
2,2.0,1000.0,2025,2
2,3.0,808.9090909090909,2025,2
2,5.0,808.7692307692307,2025,2
2,6.0,800.4,2025,2
2,7.0,932.3340292275574,2025,2
2,8.0,789.5,2025,2
2,9.0,500.0,2025,2
2,10.0,1424.8321799307955,2025,2
2,11.0,904.2894736842104,2025,2
2,12.0,3693.621323529412,2025,2
2,13.0,5313.539534883721,2025,2
2,14.0,7241.090909090909,2025,2
2,15.0,9253.333333333334,2025,2
