Escolaridade,Percentual_Carteira,Ano,Trimestre
3.0,3.4934497816593884,2024,1
5.0,2.263374485596708,2024,1
6.0,1.9417475728155336,2024,1
7.0,9.295774647887324,2024,1
8.0,8.73015873015873,2024,1
9.0,3.3057851239669422,2024,1
10.0,20.98941368078176,2024,1
11.0,16.363636363636363,2024,1
12.0,24.51564828614009,2024,1
13.0,21.467391304347828,2024,1
14.0,18.367346938775512,2024,1
15.0,11.11111111111111,2024,1
2.0,3.125,2024,2
3.0,1.694915254237288,2024,2
5.0,2.4261603375527425,2024,2
6.0,1.9417475728155336,2024,2
7.0,8.272058823529411,2024,2
8.0,6.306306306306306,2024,2
9.0,1.550387596899225,2024,2
10.0,21.42417402011081,2024,2
11.0,14.893617021276595,2024,2
12.0,23.21302193913659,2024,2
13.0,21.573604060913706,2024,2
14.0,16.666666666666664,2024,2
15.0,11.538461538461538,2024,2
1.0,0.0,2024,3
2.0,6.666666666666667,2024,3
3.0,2.135231316725979,2024,3
5.0,3.311965811965812,2024,3
6.0,1.9417475728155336,2024,3
7.0,8.996778647031753,2024,3
8.0,5.64516129032258,2024,3
9.0,0.7299270072992701,2024,3
10.0,21.18786857624263,2024,3
11.0,14.594594594594597,2024,3
12.0,22.50179726815241,2024,3
13.0,22.41813602015113,2024,3
14.0,18.96551724137931,2024,3
15.0,4.761904761904762,2024,3
1.0,0.0,2024,4
2.0,6.0606060606060606,2024,4
3.0,1.257861635220126,2024,4
5.0,1.568627450980392,2024,4
6.0,2.857142857142857,2024,4
7.0,9.078771695594126,2024,4
8.0,4.166666666666666,2024,4
9.0,1.2345679012345678,2024,4
10.0,22.90409819013938,2024,4
11.0,7.638888888888889,2024,4
12.0,25.374198146828224,2024,4
13.0,24.69135802469136,2024,4
14.0,22.388059701492537,2024,4
15.0,10.344827586206897,2024,4
2.0,3.125,2025,1
3.0,2.272727272727273,2025,1
5.0,1.46163215590743,2025,1
6.0,1.098901098901099,2025,1
7.0,9.531539888682746,2025,1
8.0,5.844155844155844,2025,1
9.0,0.8547008547008548,2025,1
10.0,22.409932831263998,2025,1
11.0,9.027777777777777,2025,1
12.0,24.288840262582056,2025,1
13.0,19.565217391304348,2025,1
14.0,33.33333333333333,2025,1
15.0,7.6923076923076925,2025,1
2.0,0.0,2025,2
3.0,2.5974025974025974,2025,2
5.0,1.3904982618771726,2025,2
6.0,5.982905982905983,2025,2
7.0,8.68421052631579,2025,2
8.0,5.172413793103448,2025,2
9.0,0.0,2025,2
10.0,21.729166666666664,2025,2
11.0,14.666666666666666,2025,2
12.0,26.34521313766597,2025,2
13.0,21.933962264150946,2025,2
14.0,10.909090909090908,2025,2
15.0,9.375,2025,2
2.0,0.0,2025,3
3.0,1.6348773841961852,2025,3
5.0,1.4705882352941175,2025,3
6.0,3.7037037037037033,2025,3
7.0,8.804426268943951,2025,3
8.0,4.41988950276243,2025,3
9.0,2.083333333333333,2025,3
10.0,22.292059501361827,2025,3
11.0,16.184971098265898,2025,3
12.0,26.07758620689655,2025,3
13.0,21.487603305785125,2025,3
14.0,23.728813559322035,2025,3
15.0,13.88888888888889,2025,3
2.0,0.0,2025,4
3.0,3.151862464183381,2025,4
5.0,2.1517553793884483,2025,4
6.0,4.166666666666666,2025,4
7.0,9.013732833957553,2025,4
8.0,6.666666666666667,2025,4
9.0,1.9047619047619049,2025,4
10.0,22.674541236026155,2025,4
11.0,15.24390243902439,2025,4
12.0,24.250681198910083,2025,4
13.0,23.234200743494423,2025,4
14.0,16.176470588235293,2025,4
15.0,15.0,2025,4
