Escolaridade,Percentual_Ocupados,Ano,Trimestre
13.0,72.22222222222221,2025,1
14.0,74.60317460317461,2025,1
15.0,76.92307692307693,2025,1
2.0,20.0,2025,2
3.0,11.688311688311687,2025,2
5.0,12.05098493626883,2025,2
6.0,20.51282051282051,2025,2
7.0,34.13875598086125,2025,2
8.0,31.03448275862069,2025,2
9.0,8.333333333333332,2025,2
10.0,50.41666666666666,2025,2
11.0,46.0,2025,2
12.0,68.06429070580013,2025,2
13.0,78.30188679245283,2025,2
14.0,76.36363636363637,2025,2
15.0,78.125,2025,2
2.0,10.0,2025,3
3.0,10.08174386920981,2025,3
5.0,12.5,2025,3
6.0,11.11111111111111,2025,3
7.0,35.4342073610777,2025,3
8.0,33.14917127071823,2025,3
9.0,10.416666666666668,2025,3
10.0,52.21034988476849,2025,3
11.0,52.601156069364166,2025,3
12.0,68.10344827586206,2025,3
13.0,78.92561983471074,2025,3
14.0,79.66101694915254,2025,3
15.0,86.11111111111111,2025,3
2.0,5.0,2025,4
3.0,14.040114613180515,2025,4
5.0,14.156285390713478,2025,4
6.0,11.458333333333332,2025,4
7.0,38.50187265917603,2025,4
8.0,27.500000000000004,2025,4
9.0,13.333333333333334,2025,4
10.0,54.54545454545454,2025,4
11.0,49.39024390243903,2025,4
12.0,69.07356948228883,2025,4
13.0,82.15613382899627,2025,4
14.0,83.82352941176471,2025,4
15.0,87.5,2025,4
