Idade,Renda_Media,Ano,Trimestre
23,1251.6704545454545,2020,3
24,1094.8539325842696,2020,3
25,1425.202247191011,2020,3
26,1418.4479166666667,2020,3
27,1152.2857142857142,2020,3
28,1321.55,2020,3
29,1366.6774193548388,2020,3
30,1478.6057692307693,2020,3
31,1239.1834862385322,2020,3
32,1307.767857142857,2020,3
33,1477.5384615384614,2020,3
34,1747.8137931034482,2020,3
35,1584.883211678832,2020,3
36,2143.231578947368,2020,3
37,1747.4045801526718,2020,3
38,1893.5967741935483,2020,3
39,2434.8189655172414,2020,3
40,1483.7916666666667,2020,3
41,1589.4272727272728,2020,3
42,1311.1186440677966,2020,3
43,1352.03738317757,2020,3
44,2006.1891891891887,2020,3
45,1771.1056910569105,2020,3
46,2319.3711340206187,2020,3
47,1756.383928571429,2020,3
48,1840.5882352941176,2020,3
49,1899.9213483146068,2020,3
50,2033.055555555556,2020,3
51,2231.151162790697,2020,3
52,2120.2727272727275,2020,3
53,1667.0776699029127,2020,3
54,2171.883116883117,2020,3
55,1740.3921568627452,2020,3
56,1783.7191011235957,2020,3
57,2360.890625,2020,3
58,2044.4186046511627,2020,3
59,1926.7391304347825,2020,3
60,2098.679245283018,2020,3
61,2964.4333333333334,2020,3
62,1750.8,2020,3
63,1838.08,2020,3
64,1864.8695652173917,2020,3
65,3589.75,2020,3
66,4661.428571428572,2020,3
67,3170.4166666666665,2020,3
68,1573.235294117647,2020,3
69,2440.0,2020,3
70,3017.8571428571427,2020,3
71,4435.714285714285,2020,3
72,1348.3333333333333,2020,3
73,4300.0,2020,3
74,2770.714285714286,2020,3
75,1523.75,2020,3
76,,2020,3
77,,2020,3
78,200.0,2020,3
79,,2020,3
80,600.0,2020,3
81,3483.333333333333,2020,3
82,,2020,3
83,150.0,2020,3
84,,2020,3
85,,2020,3
86,,2020,3
87,,2020,3
88,,2020,3
89,,2020,3
90,,2020,3
91,,2020,3
92,,2020,3
93,,2020,3
94,,2020,3
95,,2020,3
96,,2020,3
97,,2020,3
98,,2020,3
99,,2020,3
100,,2020,3
101,,2020,3
106,,2020,3
0,,2020,4
1,,2020,4
2,,2020,4
3,,2020,4
4,,2020,4
5,,2020,4
6,,2020,4
7,,2020,4
8,,2020,4
9,,2020,4
10,,2020,4
11,,2020,4
12,,2020,4
13,,2020,4
14,90.0,2020,4
15,400.0,2020,4
16,566.4285714285714,2020,4
17,603.8,2020,4
18,634.1282051282051,2020,4
19,686.8181818181819,2020,4
20,811.5294117647059,2020,4
21,981.6,2020,4
22,923.154761904762,2020,4
23,996.0388349514564,2020,4
24,1088.287356321839,2020,4
25,1170.1354166666667,2020,4
26,1650.4835164835165,2020,4
27,1353.6792452830189,2020,4
28,1186.0,2020,4
29,1409.9908256880733,2020,4
30,1353.0243902439024,2020,4
31,1299.4521739130437,2020,4
32,1262.1929824561405,2020,4
33,1430.3119266055046,2020,4
34,1917.146551724138,2020,4
35,1407.2545454545457,2020,4
36,1771.036036036036,2020,4
37,1561.2058823529412,2020,4
38,1395.3432835820895,2020,4
39,2147.0,2020,4
40,2167.2421875,2020,4
41,1578.0530973451328,2020,4
42,1567.406015037594,2020,4
43,1615.592,2020,4
44,1498.957627118644,2020,4
45,1783.3082706766918,2020,4
46,1894.2429906542056,2020,4
47,1989.809523809524,2020,4
48,1559.6272727272728,2020,4
49,1957.790909090909,2020,4
50,1483.529411764706,2020,4
51,2185.890410958904,2020,4
52,2064.8979591836733,2020,4
53,1661.2708333333333,2020,4
54,2050.7294117647057,2020,4
55,1901.1486486486488,2020,4
56,1702.148148148148,2020,4
57,2229.546875,2020,4
58,2733.203703703704,2020,4
59,2372.234042553192,2020,4
60,2039.157894736842,2020,4
61,2649.3714285714286,2020,4
62,4604.0,2020,4
63,1489.84375,2020,4
64,3579.75,2020,4
65,1913.5263157894735,2020,4
66,5079.923076923077,2020,4
67,1865.1052631578948,2020,4
68,1625.0,2020,4
69,1186.25,2020,4
70,3614.285714285714,2020,4
71,3591.6666666666665,2020,4
72,1088.0,2020,4
73,2950.0,2020,4
74,6112.5,2020,4
75,1165.0,2020,4
76,,2020,4
77,1000.0,2020,4
78,200.0,2020,4
79,200.0,2020,4
80,800.0,2020,4
81,300.0,2020,4
82,200.0,2020,4
83,200.0,2020,4
84,,2020,4
85,,2020,4
86,,2020,4
87,,2020,4
88,,2020,4
89,,2020,4
90,,2020,4
91,,2020,4
92,,2020,4
93,,2020,4
94,,2020,4
95,,2020,4
96,,2020,4
97,,2020,4
98,,2020,4
99,,2020,4
100,,2020,4
106,,2020,4
0,,2021,1
1,,2021,1
2,,2021,1
3,,2021,1
4,,2021,1
5,,2021,1
6,,2021,1
7,,2021,1
8,,2021,1
9,,2021,1
10,,2021,1
11,,2021,1
12,,2021,1
13,,2021,1
14,396.6666666666667,2021,1
15,516.6666666666666,2021,1
16,465.625,2021,1
17,472.1333333333333,2021,1
18,557.1875,2021,1
19,705.5,2021,1
20,792.9113924050633,2021,1
21,1031.8695652173913,2021,1
22,991.8852459016392,2021,1
23,979.6153846153846,2021,1
24,1083.6705882352942,2021,1
25,1228.5631067961165,2021,1
26,1548.2967032967033,2021,1
27,1348.063829787234,2021,1
28,1529.8857142857144,2021,1
29,1247.712765957447,2021,1
30,1611.8818181818183,2021,1
31,1448.3482142857142,2021,1
32,1387.6486486486488,2021,1
33,1623.549019607843,2021,1
34,1709.7610619469026,2021,1
35,1539.25,2021,1
36,1673.2260869565218,2021,1
37,1488.9338235294117,2021,1
38,1748.0787401574803,2021,1
39,1926.0384615384612,2021,1
40,2206.412162162162,2021,1
41,1500.754716981132,2021,1
42,1592.6666666666667,2021,1
43,1672.695652173913,2021,1
44,2030.330357142857,2021,1
45,1528.219696969697,2021,1
46,1899.3980582524275,2021,1
47,2618.3783783783783,2021,1
48,1651.235294117647,2021,1
49,1857.5833333333333,2021,1
50,1929.9782608695648,2021,1
51,1828.6052631578948,2021,1
52,2188.3695652173915,2021,1
53,2026.010526315789,2021,1
54,1984.79797979798,2021,1
55,1818.2278481012656,2021,1
56,1756.6923076923076,2021,1
57,2416.560606060606,2021,1
58,2817.410714285714,2021,1
59,1992.840909090909,2021,1
60,1328.7755102040817,2021,1
61,2442.121212121212,2021,1
62,4111.710526315789,2021,1
63,2030.8,2021,1
64,3983.055555555556,2021,1
65,2004.5,2021,1
66,3579.333333333333,2021,1
67,1945.4761904761904,2021,1
68,1913.8235294117649,2021,1
69,1055.5882352941176,2021,1
70,1783.3333333333333,2021,1
71,4360.0,2021,1
72,974.1666666666666,2021,1
73,3700.0,2021,1
74,5233.333333333333,2021,1
75,4000.0,2021,1
76,1050.0,2021,1
77,,2021,1
78,1000.0,2021,1
79,200.0,2021,1
80,1550.0,2021,1
81,1233.3333333333333,2021,1
82,1200.0,2021,1
83,,2021,1
84,,2021,1
85,,2021,1
86,,2021,1
87,,2021,1
88,,2021,1
89,,2021,1
90,,2021,1
91,,2021,1
92,,2021,1
93,,2021,1
94,,2021,1
95,,2021,1
96,,2021,1
97,,2021,1
98,,2021,1
99,,2021,1
100,,2021,1
102,,2021,1
106,,2021,1
0,,2021,2
1,,2021,2
2,,2021,2
3,,2021,2
4,,2021,2
5,,2021,2
6,,2021,2
7,,2021,2
8,,2021,2
9,,2021,2
10,,2021,2
11,,2021,2
12,,2021,2
13,,2021,2
14,650.0,2021,2
15,413.3333333333333,2021,2
16,512.0,2021,2
17,490.0,2021,2
18,680.2702702702703,2021,2
19,876.5964912280701,2021,2
20,751.9753086419753,2021,2
21,965.2631578947368,2021,2
22,1021.875,2021,2
