Horas_Semanais,Renda_Total,Ano,Trimestre
1.0,3000.0,2020,4
2.0,5030.0,2020,4
3.0,1400.0,2020,4
4.0,7625.0,2020,4
5.0,8845.0,2020,4
6.0,3940.0,2020,4
7.0,2135.0,2020,4
8.0,23547.0,2020,4
9.0,1708.0,2020,4
10.0,18985.0,2020,4
11.0,1045.0,2020,4
12.0,15260.0,2020,4
13.0,500.0,2020,4
14.0,2250.0,2020,4
15.0,28505.0,2020,4
16.0,24123.0,2020,4
17.0,200.0,2020,4
18.0,6340.0,2020,4
19.0,200.0,2020,4
20.0,278911.0,2020,4
21.0,1020.0,2020,4
22.0,8845.0,2020,4
23.0,11240.0,2020,4
24.0,68779.0,2020,4
25.0,55013.0,2020,4
26.0,1151.0,2020,4
27.0,1730.0,2020,4
28.0,6700.0,2020,4
29.0,2500.0,2020,4
30.0,826475.0,2020,4
32.0,12924.0,2020,4
33.0,6200.0,2020,4
34.0,3450.0,2020,4
35.0,101085.0,2020,4
36.0,181944.0,2020,4
37.0,1996.0,2020,4
38.0,4990.0,2020,4
39.0,42120.0,2020,4
40.0,2701834.0,2020,4
41.0,400.0,2020,4
42.0,21689.0,2020,4
43.0,6845.0,2020,4
44.0,1404126.0,2020,4
45.0,43559.0,2020,4
46.0,25910.0,2020,4
47.0,3800.0,2020,4
48.0,773938.0,2020,4
49.0,450.0,2020,4
50.0,296479.0,2020,4
52.0,22520.0,2020,4
53.0,305.0,2020,4
54.0,19795.0,2020,4
55.0,20302.0,2020,4
56.0,43015.0,2020,4
57.0,6745.0,2020,4
58.0,14500.0,2020,4
60.0,271194.0,2020,4
63.0,2200.0,2020,4
64.0,1800.0,2020,4
65.0,2500.0,2020,4
66.0,8245.0,2020,4
68.0,400.0,2020,4
70.0,35545.0,2020,4
72.0,33736.0,2020,4
75.0,500.0,2020,4
76.0,1045.0,2020,4
77.0,600.0,2020,4
78.0,3567.0,2020,4
80.0,7000.0,2020,4
82.0,800.0,2020,4
83.0,120.0,2020,4
84.0,13300.0,2020,4
98.0,16500.0,2020,4
108.0,14630.0,2020,4
112.0,450.0,2020,4
120.0,30000.0,2020,4
1.0,2400.0,2021,1
2.0,2150.0,2021,1
4.0,3690.0,2021,1
5.0,8830.0,2021,1
6.0,4210.0,2021,1
7.0,585.0,2021,1
8.0,41210.0,2021,1
9.0,1150.0,2021,1
10.0,20670.0,2021,1
11.0,650.0,2021,1
12.0,20000.0,2021,1
14.0,2510.0,2021,1
15.0,24910.0,2021,1
16.0,21876.0,2021,1
17.0,400.0,2021,1
18.0,6250.0,2021,1
20.0,296399.0,2021,1
21.0,3600.0,2021,1
22.0,10700.0,2021,1
23.0,11175.0,2021,1
24.0,78462.0,2021,1
25.0,61275.0,2021,1
27.0,2620.0,2021,1
28.0,8590.0,2021,1
30.0,923918.0,2021,1
32.0,21056.0,2021,1
33.0,7800.0,2021,1
35.0,101670.0,2021,1
36.0,202894.0,2021,1
38.0,4200.0,2021,1
39.0,0.0,2021,1
40.0,2594634.0,2021,1
41.0,400.0,2021,1
42.0,31545.0,2021,1
43.0,1645.0,2021,1
44.0,1339986.0,2021,1
45.0,66577.0,2021,1
46.0,30070.0,2021,1
47.0,15600.0,2021,1
48.0,707100.0,2021,1
49.0,1350.0,2021,1
50.0,271534.0,2021,1
51.0,600.0,2021,1
52.0,29622.0,2021,1
53.0,125.0,2021,1
54.0,21405.0,2021,1
55.0,39525.0,2021,1
56.0,50865.0,2021,1
57.0,1045.0,2021,1
58.0,2700.0,2021,1
60.0,280447.0,2021,1
62.0,1100.0,2021,1
63.0,2000.0,2021,1
64.0,4200.0,2021,1
65.0,14000.0,2021,1
66.0,8079.0,2021,1
68.0,400.0,2021,1
70.0,27985.0,2021,1
72.0,51015.0,2021,1
77.0,1800.0,2021,1
78.0,2700.0,2021,1
80.0,10800.0,2021,1
82.0,2000.0,2021,1
84.0,12200.0,2021,1
96.0,850.0,2021,1
108.0,14630.0,2021,1
120.0,30000.0,2021,1
2.0,950.0,2021,2
3.0,200.0,2021,2
4.0,3270.0,2021,2
5.0,6620.0,2021,2
6.0,8360.0,2021,2
7.0,2380.0,2021,2
8.0,39240.0,2021,2
9.0,450.0,2021,2
10.0,18870.0,2021,2
11.0,1100.0,2021,2
12.0,18040.0,2021,2
14.0,5110.0,2021,2
15.0,30350.0,2021,2
16.0,18582.0,2021,2
18.0,10250.0,2021,2
20.0,286248.0,2021,2
21.0,2520.0,2021,2
22.0,13500.0,2021,2
23.0,3500.0,2021,2
24.0,107446.0,2021,2
25.0,59815.0,2021,2
26.0,1100.0,2021,2
27.0,3600.0,2021,2
28.0,2490.0,2021,2
29.0,3000.0,2021,2
30.0,814733.0,2021,2
32.0,12828.0,2021,2
33.0,5000.0,2021,2
34.0,300.0,2021,2
35.0,114973.0,2021,2
36.0,237882.0,2021,2
38.0,7900.0,2021,2
39.0,1060.0,2021,2
40.0,2700609.0,2021,2
41.0,400.0,2021,2
42.0,51685.0,2021,2
44.0,1281519.0,2021,2
45.0,64025.0,2021,2
46.0,36898.0,2021,2
47.0,16500.0,2021,2
48.0,725246.0,2021,2
49.0,4450.0,2021,2
50.0,453485.0,2021,2
51.0,500.0,2021,2
52.0,31845.0,2021,2
53.0,125.0,2021,2
54.0,43400.0,2021,2
55.0,16150.0,2021,2
56.0,36455.0,2021,2
58.0,2700.0,2021,2
60.0,196765.0,2021,2
62.0,19100.0,2021,2
63.0,2000.0,2021,2
64.0,2500.0,2021,2
65.0,2000.0,2021,2
66.0,5100.0,2021,2
68.0,400.0,2021,2
70.0,31435.0,2021,2
71.0,2100.0,2021,2
72.0,45665.0,2021,2
77.0,600.0,2021,2
78.0,1100.0,2021,2
80.0,5300.0,2021,2
82.0,2000.0,2021,2
84.0,7600.0,2021,2
88.0,3600.0,2021,2
90.0,7000.0,2021,2
91.0,1500.0,2021,2
100.0,1200.0,2021,2
108.0,15400.0,2021,2
120.0,33800.0,2021,2
1.0,400.0,2021,3
2.0,680.0,2021,3
3.0,2050.0,2021,3
4.0,8890.0,2021,3
5.0,5345.0,2021,3
6.0,17640.0,2021,3
7.0,5700.0,2021,3
8.0,40665.0,2021,3
9.0,4550.0,2021,3
10.0,21877.0,2021,3
11.0,675.0,2021,3
12.0,27225.0,2021,3
14.0,6090.0,2021,3
15.0,35261.0,2021,3
16.0,32740.0,2021,3
18.0,11545.0,2021,3
20.0,342918.0,2021,3
21.0,5253.0,2021,3
22.0,16800.0,2021,3
23.0,6600.0,2021,3
24.0,161607.0,2021,3
25.0,76070.0,2021,3
26.0,1100.0,2021,3
27.0,5870.0,2021,3
28.0,10110.0,2021,3
29.0,3000.0,2021,3
30.0,852866.0,2021,3
32.0,20318.0,2021,3
33.0,5114.0,2021,3
34.0,700.0,2021,3
35.0,98783.0,2021,3
36.0,275738.0,2021,3
37.0,4100.0,2021,3
38.0,7000.0,2021,3
39.0,1150.0,2021,3
40.0,2888733.0,2021,3
41.0,400.0,2021,3
42.0,52255.0,2021,3
44.0,1607965.0,2021,3
45.0,97180.0,2021,3
46.0,25130.0,2021,3
47.0,4100.0,2021,3
48.0,867292.0,2021,3
49.0,6450.0,2021,3
50.0,610345.0,2021,3
51.0,1700.0,2021,3
52.0,29377.0,2021,3
53.0,3300.0,2021,3
54.0,41260.0,2021,3
55.0,21050.0,2021,3
56.0,50690.0,2021,3
57.0,1100.0,2021,3
58.0,2200.0,2021,3
60.0,366478.0,2021,3
61.0,1800.0,2021,3
62.0,20200.0,2021,3
63.0,5700.0,2021,3
64.0,4700.0,2021,3
65.0,2000.0,2021,3
66.0,14550.0,2021,3
70.0,41355.0,2021,3
72.0,65565.0,2021,3
78.0,3100.0,2021,3
80.0,35550.0,2021,3
82.0,4200.0,2021,3
84.0,9768.0,2021,3
90.0,7000.0,2021,3
91.0,2100.0,2021,3
96.0,14000.0,2021,3
108.0,15400.0,2021,3
115.0,700.0,2021,3
120.0,2200.0,2021,3
1.0,933.0,2021,4
2.0,1200.0,2021,4
3.0,2600.0,2021,4
4.0,8380.0,2021,4
5.0,3710.0,2021,4
6.0,13490.0,2021,4
7.0,2130.0,2021,4
8.0,29835.0,2021,4
9.0,3500.0,2021,4
10.0,49320.0,2021,4
11.0,1050.0,2021,4
12.0,19671.0,2021,4
14.0,12210.0,2021,4
15.0,38210.0,2021,4
16.0,30395.0,2021,4
17.0,460.0,2021,4
18.0,9346.0,2021,4
20.0,360283.0,2021,4
21.0,3980.0,2021,4
22.0,17400.0,2021,4
23.0,1100.0,2021,4
24.0,188671.0,2021,4
25.0,71695.0,2021,4
26.0,400.0,2021,4
27.0,5625.0,2021,4
28.0,28485.0,2021,4
29.0,3000.0,2021,4
30.0,976370.0,2021,4
31.0,1000.0,2021,4
32.0,19693.0,2021,4
33.0,4700.0,2021,4
34.0,1200.0,2021,4
35.0,73997.0,2021,4
36.0,276679.0,2021,4
37.0,6300.0,2021,4
38.0,3900.0,2021,4
39.0,2380.0,2021,4
40.0,2926567.0,2021,4
41.0,400.0,2021,4
42.0,56100.0,2021,4
43.0,800.0,2021,4
44.0,1701596.0,2021,4
45.0,104410.0,2021,4
46.0,18330.0,2021,4
47.0,3800.0,2021,4
48.0,856294.0,2021,4
49.0,9100.0,2021,4
50.0,597737.0,2021,4
51.0,1200.0,2021,4
52.0,22800.0,2021,4
53.0,3300.0,2021,4
54.0,37500.0,2021,4
55.0,17710.0,2021,4
56.0,69500.0,2021,4
57.0,700.0,2021,4
58.0,1800.0,2021,4
59.0,3000.0,2021,4
60.0,400880.0,2021,4
61.0,3000.0,2021,4
62.0,18000.0,2021,4
63.0,1900.0,2021,4
64.0,4800.0,2021,4
66.0,22100.0,2021,4
68.0,1100.0,2021,4
70.0,55670.0,2021,4
72.0,72025.0,2021,4
78.0,5700.0,2021,4
80.0,39000.0,2021,4
82.0,1100.0,2021,4
84.0,16100.0,2021,4
90.0,7500.0,2021,4
91.0,2850.0,2021,4
96.0,14000.0,2021,4
98.0,1650.0,2021,4
112.0,0.0,2021,4
120.0,1300.0,2021,4
1.0,100.0,2022,1
2.0,3650.0,2022,1
3.0,3545.0,2022,1
4.0,3640.0,2022,1
5.0,5582.0,2022,1
6.0,12340.0,2022,1
7.0,2890.0,2022,1
8.0,28543.0,2022,1
9.0,3735.0,2022,1
10.0,35445.0,2022,1
11.0,1350.0,2022,1
12.0,25950.0,2022,1
14.0,5410.0,2022,1
15.0,29199.0,2022,1
16.0,34332.0,2022,1
17.0,400.0,2022,1
18.0,15910.0,2022,1
20.0,305414.0,2022,1
21.0,4677.0,2022,1
22.0,6212.0,2022,1
23.0,2500.0,2022,1
24.0,137591.0,2022,1
25.0,71941.0,2022,1
26.0,11250.0,2022,1
27.0,4130.0,2022,1
28.0,26759.0,2022,1
30.0,725503.0,2022,1
31.0,2112.0,2022,1
32.0,32240.0,2022,1
33.0,2432.0,2022,1
34.0,5397.0,2022,1
35.0,119334.0,2022,1
36.0,267576.0,2022,1
37.0,1212.0,2022,1
38.0,6662.0,2022,1
39.0,1212.0,2022,1
40.0,3366289.0,2022,1
42.0,74729.0,2022,1
43.0,1434.0,2022,1
44.0,2071865.0,2022,1
45.0,146280.0,2022,1
46.0,15456.0,2022,1
47.0,2300.0,2022,1
48.0,909383.0,2022,1
49.0,5012.0,2022,1
50.0,549717.0,2022,1
51.0,1400.0,2022,1
52.0,42636.0,2022,1
53.0,270.0,2022,1
54.0,38624.0,2022,1
55.0,39136.0,2022,1
56.0,75761.0,2022,1
58.0,1212.0,2022,1
59.0,3300.0,2022,1
60.0,389656.0,2022,1
63.0,5124.0,2022,1
64.0,3070.0,2022,1
65.0,1200.0,2022,1
66.0,13564.0,2022,1
67.0,2000.0,2022,1
68.0,1500.0,2022,1
69.0,360.0,2022,1
70.0,33244.0,2022,1
71.0,120.0,2022,1
72.0,84092.0,2022,1
74.0,3700.0,2022,1
76.0,4900.0,2022,1
77.0,4500.0,2022,1
78.0,6800.0,2022,1
80.0,20280.0,2022,1
84.0,23101.0,2022,1
85.0,660.0,2022,1
90.0,10700.0,2022,1
96.0,5000.0,2022,1
97.0,2000.0,2022,1
98.0,11800.0,2022,1
100.0,5000.0,2022,1
112.0,400.0,2022,1
1.0,1362.0,2022,2
2.0,1940.0,2022,2
3.0,11775.0,2022,2
4.0,6280.0,2022,2
5.0,5040.0,2022,2
6.0,4687.0,2022,2
7.0,3125.0,2022,2
8.0,33274.0,2022,2
9.0,5172.0,2022,2
10.0,45341.0,2022,2
11.0,900.0,2022,2
12.0,40446.0,2022,2
13.0,100.0,2022,2
14.0,4882.0,2022,2
15.0,19118.0,2022,2
16.0,69845.0,2022,2
18.0,37232.0,2022,2
20.0,406385.0,2022,2
21.0,14037.0,2022,2
22.0,16132.0,2022,2
23.0,150.0,2022,2
24.0,164402.0,2022,2
25.0,78991.0,2022,2
26.0,0.0,2022,2
27.0,3972.0,2022,2
28.0,31237.0,2022,2
30.0,853110.0,2022,2
31.0,850.0,2022,2
32.0,53436.0,2022,2
33.0,4200.0,2022,2
34.0,1800.0,2022,2
35.0,77578.0,2022,2
36.0,389377.0,2022,2
38.0,7424.0,2022,2
39.0,8132.0,2022,2
40.0,3628232.0,2022,2
41.0,4000.0,2022,2
42.0,50874.0,2022,2
43.0,1212.0,2022,2
44.0,1806401.0,2022,2
45.0,212065.0,2022,2
46.0,16248.0,2022,2
48.0,845650.0,2022,2
49.0,6000.0,2022,2
50.0,515347.0,2022,2
51.0,1380.0,2022,2
52.0,21068.0,2022,2
53.0,10924.0,2022,2
54.0,59026.0,2022,2
55.0,62748.0,2022,2
56.0,117893.0,2022,2
